game_name,num_players,value,num_votes
Gloomhaven,1,Best,143
Gloomhaven,1,Recommended,643
Gloomhaven,1,Not Recommended,356
Gloomhaven,2,Best,373
Gloomhaven,2,Recommended,822
Gloomhaven,2,Not Recommended,89
Gloomhaven,3,Best,736
Gloomhaven,3,Recommended,501
Gloomhaven,3,Not Recommended,37
Gloomhaven,4+,Best,457
Gloomhaven,4+,Recommended,597
Gloomhaven,4+,Not Recommended,159
Gloomhaven,4+,Best,6
Gloomhaven,4+,Recommended,50
Gloomhaven,4+,Not Recommended,836
Pandemic Legacy,1,Best,19
Pandemic Legacy,1,Recommended,131
Pandemic Legacy,1,Not Recommended,428
Pandemic Legacy,2,Best,154
Pandemic Legacy,2,Recommended,449
Pandemic Legacy,2,Not Recommended,95
Pandemic Legacy,3,Best,174
Pandemic Legacy,3,Recommended,421
Pandemic Legacy,3,Not Recommended,41
Pandemic Legacy,4+,Best,477
Pandemic Legacy,4+,Recommended,208
Pandemic Legacy,4+,Not Recommended,20
Pandemic Legacy,4+,Best,8
Pandemic Legacy,4+,Recommended,7
Pandemic Legacy,4+,Not Recommended,453
Brass: Birmingham,1,Best,0
Brass: Birmingham,1,Recommended,52
Brass: Birmingham,1,Not Recommended,540
Brass: Birmingham,2,Best,101
Brass: Birmingham,2,Recommended,647
Brass: Birmingham,2,Not Recommended,120
Brass: Birmingham,3,Best,556
Brass: Birmingham,3,Recommended,322
Brass: Birmingham,3,Not Recommended,12
Brass: Birmingham,4+,Best,538
Brass: Birmingham,4+,Recommended,289
Brass: Birmingham,4+,Not Recommended,37
Brass: Birmingham,4+,Best,1
Brass: Birmingham,4+,Recommended,6
Brass: Birmingham,4+,Not Recommended,450
Terraforming Mars,1,Best,196
Terraforming Mars,1,Recommended,1091
Terraforming Mars,1,Not Recommended,432
Terraforming Mars,2,Best,497
Terraforming Mars,2,Recommended,1342
Terraforming Mars,2,Not Recommended,225
Terraforming Mars,3,Best,1442
Terraforming Mars,3,Recommended,607
Terraforming Mars,3,Not Recommended,36
Terraforming Mars,4+,Best,803
Terraforming Mars,4+,Recommended,1001
Terraforming Mars,4+,Not Recommended,168
Terraforming Mars,4+,Best,99
Terraforming Mars,4+,Recommended,636
Terraforming Mars,4+,Not Recommended,971
Terraforming Mars,5+,Best,9
Terraforming Mars,5+,Recommended,8
Terraforming Mars,5+,Not Recommended,1128
Twilight Imperium,1,Best,0
Twilight Imperium,1,Recommended,4
Twilight Imperium,1,Not Recommended,375
Twilight Imperium,2,Best,0
Twilight Imperium,2,Recommended,15
Twilight Imperium,2,Not Recommended,368
Twilight Imperium,3,Best,18
Twilight Imperium,3,Recommended,221
Twilight Imperium,3,Not Recommended,178
Twilight Imperium,4+,Best,142
Twilight Imperium,4+,Recommended,248
Twilight Imperium,4+,Not Recommended,65
Twilight Imperium,4+,Best,92
Twilight Imperium,4+,Recommended,313
Twilight Imperium,4+,Not Recommended,43
Twilight Imperium,4+,Best,376
Twilight Imperium,4+,Recommended,79
Twilight Imperium,4+,Not Recommended,24
Twilight Imperium,6+,Best,10
Twilight Imperium,6+,Recommended,60
Twilight Imperium,6+,Not Recommended,217
Gloomhaven,1,Best,91
Gloomhaven,1,Recommended,329
Gloomhaven,1,Not Recommended,111
Gloomhaven,2,Best,317
Gloomhaven,2,Recommended,272
Gloomhaven,2,Not Recommended,12
Gloomhaven,3,Best,219
Gloomhaven,3,Recommended,296
Gloomhaven,3,Not Recommended,25
Gloomhaven,4+,Best,148
Gloomhaven,4+,Recommended,276
Gloomhaven,4+,Not Recommended,80
Gloomhaven,4+,Best,1
Gloomhaven,4+,Recommended,3
Gloomhaven,4+,Not Recommended,386
Gaia Project,1,Best,57
Gaia Project,1,Recommended,292
Gaia Project,1,Not Recommended,110
Gaia Project,2,Best,109
Gaia Project,2,Recommended,399
Gaia Project,2,Not Recommended,53
Gaia Project,3,Best,351
Gaia Project,3,Recommended,198
Gaia Project,3,Not Recommended,8
Gaia Project,4+,Best,296
Gaia Project,4+,Recommended,203
Gaia Project,4+,Not Recommended,35
Gaia Project,4+,Best,0
Gaia Project,4+,Recommended,10
Gaia Project,4+,Not Recommended,254
Star Wars,1,Best,2
Star Wars,1,Recommended,17
Star Wars,1,Not Recommended,445
Star Wars,2,Best,600
Star Wars,2,Recommended,31
Star Wars,2,Not Recommended,2
Star Wars,3,Best,3
Star Wars,3,Recommended,75
Star Wars,3,Not Recommended,397
Star Wars,4+,Best,23
Star Wars,4+,Recommended,157
Star Wars,4+,Not Recommended,318
Star Wars,4+,Best,0
Star Wars,4+,Recommended,3
Star Wars,4+,Not Recommended,393
Through the Ages,1,Best,6
Through the Ages,1,Recommended,15
Through the Ages,1,Not Recommended,395
Through the Ages,2,Best,182
Through the Ages,2,Recommended,397
Through the Ages,2,Not Recommended,44
Through the Ages,3,Best,443
Through the Ages,3,Recommended,171
Through the Ages,3,Not Recommended,16
Through the Ages,4+,Best,112
Through the Ages,4+,Recommended,290
Through the Ages,4+,Not Recommended,178
Through the Ages,4+,Best,0
Through the Ages,4+,Recommended,1
Through the Ages,4+,Not Recommended,365
War of the Ring,1,Best,1
War of the Ring,1,Recommended,33
War of the Ring,1,Not Recommended,284
War of the Ring,2,Best,440
War of the Ring,2,Recommended,30
War of the Ring,2,Not Recommended,3
War of the Ring,3,Best,10
War of the Ring,3,Recommended,78
War of the Ring,3,Not Recommended,258
War of the Ring,4+,Best,36
War of the Ring,4+,Recommended,125
War of the Ring,4+,Not Recommended,198
War of the Ring,4+,Best,1
War of the Ring,4+,Recommended,3
War of the Ring,4+,Not Recommended,271
War of the Ring,1,Best,1
War of the Ring,1,Recommended,33
War of the Ring,1,Not Recommended,284
War of the Ring,2,Best,440
War of the Ring,2,Recommended,30
War of the Ring,2,Not Recommended,3
War of the Ring,3,Best,10
War of the Ring,3,Recommended,78
War of the Ring,3,Not Recommended,258
